,clockTime,sprite,x,y,direction,touching,block,keysDown,variables,stageVariables
0,0.019,Paddle,52,-145,-90,[],event_whenflagclicked,[],{},{}
1,0.185,Paddle,52,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Right'],{},{}
2,0.186,Paddle,72,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
3,0.219,Paddle,92,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
4,0.252,Paddle,112,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
5,0.294,Paddle,132,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
6,0.329,Paddle,152,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
7,0.361,Paddle,172,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
8,0.395,Paddle,192,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
9,0.428,Paddle,212,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
10,0.462,Paddle,212,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
11,0.528,Paddle,192,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
12,0.559,Paddle,172,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
13,0.592,Paddle,152,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
14,0.625,Paddle,152,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
15,0.659,Paddle,152,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Right'],{},{}
16,0.659,Paddle,172,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
17,0.693,Paddle,192,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
18,0.725,Paddle,212,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
19,0.758,Paddle,232,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
20,0.792,Paddle,252,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
21,0.824,Paddle,252,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
22,0.857,Paddle,232,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
23,0.89,Paddle,212,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
24,0.924,Paddle,192,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
25,0.956,Paddle,172,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
26,0.989,Paddle,152,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
27,1.028,Paddle,132,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
28,1.062,Paddle,112,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
29,1.091,Paddle,92,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
30,1.131,Paddle,72,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
31,1.169,Paddle,52,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
32,1.191,Paddle,32,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
33,1.223,Paddle,12,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
34,1.26,Paddle,-8,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
35,1.292,Paddle,-28,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
36,1.324,Paddle,-48,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
37,1.359,Paddle,-68,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
38,1.393,Paddle,-88,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
39,1.425,Paddle,-108,-145,-90,['Ball'],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
40,1.467,Paddle,-128,-145,-90,['Ball'],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
41,1.498,Paddle,-148,-145,-90,['Ball'],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
42,1.524,Paddle,-168,-145,-90,['Ball'],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
43,1.567,Paddle,-188,-145,-90,['Ball'],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
44,1.568,Paddle,-188,-145,-90,['Ball'],control_if{sensing_keypressed{KEY_OPTION}},['Left'],{},{}
