,clockTime,sprite,x,y,direction,touching,block,keysDown,variables,stageVariables
0,0.003,Ball,161.5394967375101,87.76532480916791,-136.99999999999986,[],event_whenflagclicked,[],{},{}
1,0.006,Ball,20.0,150.0,-136.99999999999986,[],motion_gotoxy{math_number(NUM:20)math_number(NUM:150)},[],{},{}
2,0.007,Ball,20.0,150.0,165.0,[],motion_pointindirection{math_angle(NUM:165)},[],{},{}
3,0.007,Ball,23.88228568,135.51111261,165.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
4,0.065,Ball,27.76457136,121.02222522,165.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
5,0.099,Ball,31.64685704,106.53333783,165.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
6,0.132,Ball,35.52914272,92.04445044,165.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
7,0.164,Ball,39.4114284,77.55556305,165.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
8,0.197,Ball,43.29371408,63.06667566,165.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
9,0.231,Ball,47.17599976,48.57778827,165.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
10,0.264,Ball,51.05828544,34.08890088,165.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
11,0.299,Ball,54.94057112,19.60001349,165.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
12,0.332,Ball,58.8228568,5.1111261,165.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
13,0.365,Ball,62.70514248,-9.37776129,165.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
14,0.398,Ball,66.58742816,-23.86664868,165.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
15,0.431,Ball,70.46971384,-38.35553607,165.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
16,0.464,Ball,74.35199952,-52.84442346,165.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
17,0.497,Ball,78.2342852,-67.33331085,165.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
18,0.53,Ball,82.11657088,-81.82219824,165.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
19,0.563,Ball,85.99885656,-96.31108563,165.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
20,0.596,Ball,89.88114224,-110.79997302,165.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
21,0.63,Ball,93.76342792,-125.28886041,165.0,['Paddle'],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
22,0.643,Ball,93.76342792,-125.28886041,-8.0,['Paddle'],motion_turnright{operator_random{FROMTO}},['Right'],{},{}
23,0.645,Ball,91.67583141,-110.43483938,-8.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
24,0.667,Ball,89.5882349,-95.58081835,-8.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
25,0.7,Ball,87.50063839,-80.72679732,-8.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
26,0.733,Ball,85.41304188,-65.87277629,-8.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
27,0.765,Ball,83.32544537,-51.01875526,-8.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
28,0.799,Ball,81.23784886,-36.16473423,-8.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
29,0.831,Ball,79.15025235,-21.3107132,-8.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
30,0.867,Ball,77.06265584,-6.45669217,-8.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
31,0.9,Ball,74.97505933,8.39732886,-8.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
