,clockTime,sprite,x,y,direction,touching,block,keysDown,variables,stageVariables
0,0.025,Paddle,32,-145,-90,[],event_whenflagclicked,[],{},{}
1,0.143,Paddle,32,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Right'],{},{}
2,0.145,Paddle,52,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
3,0.179,Paddle,72,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
4,0.211,Paddle,92,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
5,0.242,Paddle,92,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
6,0.507,Paddle,72,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
7,0.539,Paddle,52,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
8,0.573,Paddle,32,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
9,0.606,Paddle,32,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
10,0.716,Paddle,32,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Right'],{},{}
11,0.716,Paddle,52,-145,-90,['Ball'],motion_changexby{math_number(NUM:20)},['Right'],{},{}
12,0.74,Paddle,52,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Right'],{},{}
13,0.741,Paddle,72,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
14,0.774,Paddle,92,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
15,0.808,Paddle,112,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
16,0.84,Paddle,132,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
17,0.873,Paddle,152,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
18,0.906,Paddle,172,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
19,0.94,Paddle,192,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
20,0.973,Paddle,212,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
21,1.006,Paddle,212,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
22,1.173,Paddle,192,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
23,1.206,Paddle,172,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
24,1.24,Paddle,152,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
25,1.273,Paddle,132,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
26,1.306,Paddle,112,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
27,1.342,Paddle,92,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
28,1.374,Paddle,72,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
29,1.406,Paddle,52,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
30,1.439,Paddle,32,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
31,1.473,Paddle,12,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
32,1.506,Paddle,-8,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
33,1.537,Paddle,-8,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
34,2.068,Paddle,-28,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
35,2.104,Paddle,-48,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
36,2.139,Paddle,-68,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
37,2.169,Paddle,-88,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
38,2.202,Paddle,-88,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
39,2.735,Paddle,-88,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Right'],{},{}
40,2.736,Paddle,-68,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
41,2.77,Paddle,-48,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
42,2.8,Paddle,-28,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
43,2.835,Paddle,-8,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
44,2.866,Paddle,-8,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
45,3.418,Paddle,-8,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Right'],{},{}
46,3.419,Paddle,12,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
47,3.452,Paddle,32,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
48,3.485,Paddle,52,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
49,3.519,Paddle,52,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
50,3.817,Paddle,32,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
51,3.851,Paddle,12,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
52,3.884,Paddle,-8,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
