,clockTime,sprite,x,y,direction,touching,block,keysDown,variables,stageVariables
0,0.008,Paddle,132,-145,-90,[],event_whenflagclicked,[],{},{}
1,0.091,Paddle,112,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
2,0.122,Paddle,92,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
3,0.155,Paddle,72,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
4,0.188,Paddle,52,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
5,0.227,Paddle,32,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
6,0.259,Paddle,32,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
7,0.657,Paddle,12,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
8,0.69,Paddle,-8,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
9,0.723,Paddle,-28,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
10,0.756,Paddle,-48,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
11,0.79,Paddle,-68,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
12,0.823,Paddle,-88,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
13,0.855,Paddle,-108,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
14,0.889,Paddle,-128,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
15,0.923,Paddle,-128,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
16,1.222,Paddle,-128,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Right'],{},{}
17,1.223,Paddle,-108,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
18,1.256,Paddle,-88,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
19,1.29,Paddle,-68,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
20,1.322,Paddle,-48,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
21,1.356,Paddle,-28,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
22,1.389,Paddle,-8,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
23,1.422,Paddle,12,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
24,1.455,Paddle,32,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
25,1.489,Paddle,52,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
26,1.523,Paddle,72,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
27,1.563,Paddle,92,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
28,1.591,Paddle,112,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
29,1.623,Paddle,112,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
30,1.888,Paddle,112,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Right'],{},{}
31,1.889,Paddle,132,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
32,1.922,Paddle,152,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
33,1.955,Paddle,172,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
34,1.988,Paddle,192,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
35,2.021,Paddle,212,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
36,2.054,Paddle,212,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
37,2.158,Paddle,192,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
38,2.191,Paddle,172,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
39,2.226,Paddle,152,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
40,2.258,Paddle,132,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
41,2.291,Paddle,112,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
42,2.323,Paddle,92,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
43,2.356,Paddle,72,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
44,2.39,Paddle,72,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
45,2.49,Paddle,72,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Right'],{},{}
46,2.49,Paddle,92,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
47,2.523,Paddle,112,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
48,2.557,Paddle,132,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
49,2.59,Paddle,152,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
50,2.624,Paddle,172,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
51,2.656,Paddle,192,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
52,2.688,Paddle,212,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
53,2.722,Paddle,212,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
54,5.014,Paddle,212,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
