,clockTime,sprite,x,y,direction,touching,block,keysDown,variables,stageVariables
0,0.007,Paddle,132,-145,-90,[],event_whenflagclicked,[],{},{}
1,0.51,Paddle,112,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
2,0.542,Paddle,92,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
3,0.574,Paddle,72,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
4,0.607,Paddle,52,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
5,0.645,Paddle,52,-145,-90,['Ball'],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
6,0.774,Paddle,52,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
7,1.239,Paddle,32,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
8,1.273,Paddle,12,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
9,1.306,Paddle,-8,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
10,1.338,Paddle,-8,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
11,1.639,Paddle,-28,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
12,1.673,Paddle,-48,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
13,1.705,Paddle,-68,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
14,1.738,Paddle,-68,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
15,1.871,Paddle,-88,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
16,1.91,Paddle,-108,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
17,1.938,Paddle,-128,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
18,1.971,Paddle,-128,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
19,3.464,Paddle,-128,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Right'],{},{}
20,3.464,Paddle,-108,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
21,3.497,Paddle,-88,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
22,3.529,Paddle,-68,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
23,3.563,Paddle,-48,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
24,3.596,Paddle,-48,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
25,4.226,Paddle,-48,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Right'],{},{}
26,4.227,Paddle,-28,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
27,4.26,Paddle,-8,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
28,4.293,Paddle,12,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
29,4.327,Paddle,12,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
30,5.025,Paddle,12,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
