,clockTime,sprite,x,y,direction,touching,block,keysDown,variables,stageVariables
0,0.003,Ball,-44.07948706886267,-148.26135533393128,-155.99999999999997,[],event_whenflagclicked,[],{},{}
1,0.006,Ball,20.0,150.0,-155.99999999999997,[],motion_gotoxy{math_number(NUM:20)math_number(NUM:150)},[],{},{}
2,0.007,Ball,20.0,150.0,123.0,[],motion_pointindirection{operator_random{FROMTO}},[],{},{}
3,0.007,Ball,32.58005852,141.83041447,123.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
4,0.044,Ball,45.16011704,133.66082894,123.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
5,0.079,Ball,57.74017556,125.49124341,123.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
6,0.113,Ball,70.32023408,117.32165788,123.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
7,0.145,Ball,82.9002926,109.15207235,123.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
8,0.18,Ball,95.48035112,100.98248682,123.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
9,0.213,Ball,108.06040964,92.81290129,123.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
10,0.245,Ball,120.64046816,84.64331576,123.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
11,0.278,Ball,133.22052668,76.47373023,123.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
12,0.311,Ball,145.8005852,68.3041447,123.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
13,0.345,Ball,158.38064372,60.13455917,123.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
14,0.379,Ball,170.96070224,51.96497364,123.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
15,0.416,Ball,183.54076076,43.79538811,123.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
16,0.448,Ball,196.12081928,35.62580258,123.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
17,0.481,Ball,208.7008778,27.45621705,123.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
18,0.515,Ball,221.28093632,19.28663152,123.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
19,0.518,Ball,213.28093632,19.28663152,-123.0,[],motion_ifonedgebounce,['Left'],{},{}
20,0.548,Ball,200.7008778,11.11704599,-123.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
21,0.581,Ball,188.12081928,2.94746046,-123.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
22,0.615,Ball,175.54076076,-5.22212507,-123.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
23,0.648,Ball,162.96070224,-13.3917106,-123.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
24,0.682,Ball,150.38064372,-21.56129613,-123.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
25,0.715,Ball,137.8005852,-29.73088166,-123.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
26,0.748,Ball,125.22052668,-37.90046719,-123.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
27,0.781,Ball,112.64046816,-46.07005272,-123.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
28,0.814,Ball,100.06040964,-54.23963825,-123.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
29,0.848,Ball,87.48035112,-62.40922378,-123.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
30,0.882,Ball,74.9002926,-70.57880931,-123.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
31,0.915,Ball,62.32023408,-78.74839484,-123.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
32,0.948,Ball,49.74017556,-86.91798037,-123.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
33,0.981,Ball,37.16011704,-95.0875659,-123.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
34,1.015,Ball,24.58005852,-103.25715143,-123.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
35,1.047,Ball,12.0,-111.42673696,-123.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
36,1.081,Ball,-0.58005852,-119.59632249,-123.0,['Paddle'],motion_movesteps{math_number(NUM:15)},[],{},{}
37,1.087,Ball,-0.58005852,-119.59632249,56.0,['Paddle'],motion_turnright{operator_random{FROMTO}},[],{},{}
38,1.087,Ball,11.85550507,-111.20842894,56.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
39,1.114,Ball,24.29106866,-102.82053539,56.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
40,1.147,Ball,36.72663225,-94.43264184,56.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
41,1.18,Ball,49.16219584,-86.04474829,56.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
42,1.213,Ball,61.59775943,-77.65685474,56.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
43,1.247,Ball,74.03332302,-69.26896119,56.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
44,1.279,Ball,86.46888661,-60.88106764,56.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
45,1.313,Ball,98.9044502,-52.49317409,56.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
46,1.346,Ball,111.34001379,-44.10528054,56.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
47,1.379,Ball,123.77557738,-35.71738699,56.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
48,1.412,Ball,136.21114097,-27.32949344,56.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
49,1.445,Ball,148.64670456,-18.94159989,56.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
50,1.479,Ball,161.08226815,-10.55370634,56.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
51,1.511,Ball,173.51783174,-2.16581279,56.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
52,1.545,Ball,185.95339533,6.22208076,56.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
53,1.578,Ball,198.38895892,14.60997431,56.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
54,1.611,Ball,210.82452251,22.99786786,56.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
55,1.644,Ball,223.2600861,31.38576141,56.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
56,1.645,Ball,213.2600861,31.38576141,-56.0,[],motion_ifonedgebounce,['Left'],{},{}
57,1.678,Ball,200.82452251,39.77365496,-56.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
58,1.712,Ball,188.38895892,48.16154851,-56.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
59,1.75,Ball,175.95339533,56.54944206,-56.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
60,1.782,Ball,163.51783174,64.93733561,-56.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
61,1.815,Ball,151.08226815,73.32522916,-56.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
62,1.85,Ball,138.64670456,81.71312271,-56.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
63,1.884,Ball,126.21114097,90.10101626,-56.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
64,1.916,Ball,113.77557738,98.48890981,-56.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
65,1.95,Ball,101.34001379,106.87680336,-56.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
66,1.984,Ball,88.9044502,115.26469691,-56.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
67,2.015,Ball,76.46888661,123.65259046,-56.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
68,2.049,Ball,64.03332302,132.04048401,-56.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
69,2.082,Ball,51.59775943,140.42837756,-56.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
70,2.115,Ball,39.16219584,148.81627111,-56.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
71,2.149,Ball,26.72663225,157.20416466,-56.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
72,2.151,Ball,26.72663225,153.20416466,-124.0,[],motion_ifonedgebounce,['Right'],{},{}
