,clockTime,sprite,x,y,direction,touching,block,keysDown,variables,stageVariables
0,0.003,Ball,-44.07948706886267,-148.26135533393128,-155.99999999999997,[],event_whenflagclicked,[],{},{}
1,0.006,Ball,20.0,150.0,-155.99999999999997,[],motion_gotoxy{math_number(NUM:20)math_number(NUM:150)},[],{},{}
2,0.007,Ball,20.0,150.0,131.0,[],motion_pointindirection{operator_random{FROMTO}},[],{},{}
3,0.008,Ball,31.3206437,140.15911457,131.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
4,0.051,Ball,42.6412874,130.31822914,131.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
5,0.084,Ball,53.9619311,120.47734371,131.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
6,0.118,Ball,65.2825748,110.63645828,131.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
7,0.15,Ball,76.6032185,100.79557285,131.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
8,0.186,Ball,87.9238622,90.95468742,131.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
9,0.217,Ball,99.2445059,81.11380199,131.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
10,0.25,Ball,110.5651496,71.27291656,131.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
11,0.284,Ball,121.8857933,61.43203113,131.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
12,0.318,Ball,133.206437,51.5911457,131.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
13,0.356,Ball,144.5270807,41.75026027,131.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
14,0.388,Ball,155.8477244,31.90937484,131.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
15,0.422,Ball,167.1683681,22.06848941,131.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
16,0.454,Ball,178.4890118,12.22760398,131.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
17,0.488,Ball,189.8096555,2.38671855,131.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
18,0.521,Ball,201.1302992,-7.45416688,131.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
19,0.554,Ball,212.4509429,-17.29505231,131.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
20,0.588,Ball,223.7715866,-27.13593774,131.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
21,0.589,Ball,212.7715866,-27.13593774,-131.0,[],motion_ifonedgebounce,['Right'],{},{}
22,0.62,Ball,201.4509429,-36.97682317,-131.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
23,0.654,Ball,190.1302992,-46.8177086,-131.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
24,0.687,Ball,178.8096555,-56.65859403,-131.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
25,0.723,Ball,167.4890118,-66.49947946,-131.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
26,0.756,Ball,156.1683681,-76.34036489,-131.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
27,0.79,Ball,144.8477244,-86.18125032,-131.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
28,0.822,Ball,133.5270807,-96.02213575,-131.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
29,0.856,Ball,122.206437,-105.86302118,-131.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
30,0.89,Ball,110.8857933,-115.70390661,-131.0,['Paddle'],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
31,0.896,Ball,110.8857933,-115.70390661,51.0,['Paddle'],motion_turnright{operator_random{FROMTO}},['Left'],{},{}
32,0.897,Ball,122.54298272,-106.26410074,51.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
33,0.923,Ball,134.20017214,-96.82429487,51.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
34,0.956,Ball,145.85736156,-87.384489,51.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
35,0.988,Ball,157.51455098,-77.94468313,51.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
36,1.022,Ball,169.1717404,-68.50487726,51.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
37,1.055,Ball,180.82892982,-59.06507139,51.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
38,1.088,Ball,192.48611924,-49.62526552,51.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
39,1.122,Ball,204.14330866,-40.18545965,51.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
40,1.155,Ball,215.80049808,-30.74565378,51.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
41,1.158,Ball,212.80049808,-30.74565378,-51.0,[],motion_ifonedgebounce,['Left'],{},{}
42,1.188,Ball,201.14330866,-21.30584791,-51.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
43,1.222,Ball,189.48611924,-11.86604204,-51.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
44,1.255,Ball,177.82892982,-2.42623617,-51.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
45,1.288,Ball,166.1717404,7.0135697,-51.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
46,1.322,Ball,154.51455098,16.45337557,-51.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
47,1.355,Ball,142.85736156,25.89318144,-51.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
48,1.388,Ball,131.20017214,35.33298731,-51.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
49,1.421,Ball,119.54298272,44.77279318,-51.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
50,1.455,Ball,107.8857933,54.21259905,-51.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
51,1.487,Ball,96.22860388,63.65240492,-51.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
52,1.521,Ball,84.57141446,73.09221079,-51.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
53,1.554,Ball,72.91422504,82.53201666,-51.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
54,1.591,Ball,61.25703562,91.97182253,-51.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
55,1.623,Ball,49.5998462,101.4116284,-51.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
56,1.656,Ball,37.94265678,110.85143427,-51.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
57,1.69,Ball,26.28546736,120.29124014,-51.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
58,1.723,Ball,14.62827794,129.73104601,-51.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
59,1.757,Ball,2.97108852,139.17085188,-51.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
60,1.79,Ball,-8.6861009,148.61065775,-51.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
61,1.824,Ball,-20.34329032,158.05046362,-51.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
62,1.826,Ball,-20.34329032,153.05046362,-129.0,[],motion_ifonedgebounce,['Left'],{},{}
63,1.86,Ball,-32.00047974,143.61065775,-129.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
64,1.892,Ball,-43.65766916,134.17085188,-129.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
65,1.924,Ball,-55.31485858,124.73104601,-129.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
66,1.957,Ball,-66.972048,115.29124014,-129.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
67,1.991,Ball,-78.62923742,105.85143427,-129.0,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
68,2.023,Ball,-90.28642684,96.4116284,-129.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
69,2.056,Ball,-101.94361626,86.97182253,-129.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
70,2.089,Ball,-113.60080568,77.53201666,-129.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
71,2.123,Ball,-125.2579951,68.09221079,-129.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
