,clockTime,sprite,x,y,direction,touching,block,keysDown,variables,stageVariables
0,0.041,Ball,49.10887178,142.74234314,104,[],motion_movesteps{math_number(NUM:15)},[],{},{}
1,0.074,Ball,63.66330767,139.11351471,104,[],motion_movesteps{math_number(NUM:15)},[],{},{}
2,0.112,Ball,78.21774356,135.48468628,104,[],motion_movesteps{math_number(NUM:15)},[],{},{}
3,0.143,Ball,92.77217945,131.85585785,104,[],motion_movesteps{math_number(NUM:15)},[],{},{}
4,0.177,Ball,107.32661534,128.22702942,104,[],motion_movesteps{math_number(NUM:15)},[],{},{}
5,0.209,Ball,121.88105123,124.59820099,104,[],motion_movesteps{math_number(NUM:15)},[],{},{}
6,0.243,Ball,136.43548712,120.96937256,104,[],motion_movesteps{math_number(NUM:15)},[],{},{}
7,0.277,Ball,150.98992301,117.34054413,104,[],motion_movesteps{math_number(NUM:15)},[],{},{}
8,0.31,Ball,165.5443589,113.7117157,104,[],motion_movesteps{math_number(NUM:15)},[],{},{}
9,0.343,Ball,180.09879479,110.08288727,104,[],motion_movesteps{math_number(NUM:15)},[],{},{}
10,0.377,Ball,194.65323068,106.45405884,104,[],motion_movesteps{math_number(NUM:15)},[],{},{}
11,0.411,Ball,209.20766657,102.82523041,104,[],motion_movesteps{math_number(NUM:15)},[],{},{}
12,0.445,Ball,223.76210246,99.19640198,104,[],motion_movesteps{math_number(NUM:15)},[],{},{}
13,0.477,Ball,198.20766657,95.56757355,-104,[],motion_movesteps{math_number(NUM:15)},[],{},{}
14,0.51,Ball,183.65323068,91.93874512,-104,[],motion_movesteps{math_number(NUM:15)},[],{},{}
15,0.542,Ball,169.09879479,88.30991669,-104,[],motion_movesteps{math_number(NUM:15)},[],{},{}
16,0.576,Ball,154.5443589,84.68108826,-104,[],motion_movesteps{math_number(NUM:15)},[],{},{}
17,0.609,Ball,139.98992301,81.05225983,-104,[],motion_movesteps{math_number(NUM:15)},[],{},{}
18,0.642,Ball,125.43548712,77.4234314,-104,[],motion_movesteps{math_number(NUM:15)},[],{},{}
19,0.675,Ball,110.88105123,73.79460297,-104,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
20,0.708,Ball,96.32661534,70.16577454,-104,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
21,0.743,Ball,81.77217945,66.53694611,-104,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
22,0.776,Ball,67.21774356,62.90811768,-104,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
23,0.809,Ball,52.66330767,59.27928925,-104,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
24,0.842,Ball,38.10887178,55.65046082,-104,[],motion_movesteps{math_number(NUM:15)},[],{},{}
