,clockTime,sprite,x,y,direction,touching,block,keysDown,variables,stageVariables
0,0.061,Paddle,-94,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
1,0.092,Paddle,-94,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
2,0.124,Paddle,-94,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Right'],{},{}
3,0.157,Paddle,-74,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Right'],{},{}
4,0.19,Paddle,-54,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Right'],{},{}
5,0.224,Paddle,-34,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Right'],{},{}
6,0.257,Paddle,-14,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Right'],{},{}
7,0.29,Paddle,6,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Right'],{},{}
8,0.325,Paddle,26,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Right'],{},{}
9,0.359,Paddle,46,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Right'],{},{}
10,0.392,Paddle,66,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Right'],{},{}
11,0.425,Paddle,86,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Right'],{},{}
12,0.455,Paddle,106,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Right'],{},{}
13,0.489,Paddle,86,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
14,0.522,Paddle,66,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
15,0.555,Paddle,46,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
16,0.588,Paddle,26,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
17,0.621,Paddle,26,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Left'],{},{}
18,0.654,Paddle,26,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
19,0.688,Paddle,26,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
20,0.72,Paddle,26,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
21,0.754,Paddle,26,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
22,0.787,Paddle,26,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
23,0.82,Paddle,26,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
24,0.854,Paddle,26,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Right'],{},{}
25,0.886,Paddle,46,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Right'],{},{}
26,0.919,Paddle,66,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Right'],{},{}
27,0.952,Paddle,86,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Right'],{},{}
28,0.987,Paddle,106,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Right'],{},{}
29,1.019,Paddle,126,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Right'],{},{}
30,1.052,Paddle,146,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Right'],{},{}
31,1.085,Paddle,146,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
32,1.119,Paddle,146,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
33,1.152,Paddle,146,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
34,1.185,Paddle,146,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
35,1.217,Paddle,146,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
36,1.251,Paddle,146,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
37,1.285,Paddle,146,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
38,1.318,Paddle,146,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
39,1.352,Paddle,146,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
40,1.386,Paddle,146,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
41,1.42,Paddle,146,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
42,1.454,Paddle,146,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
43,1.49,Paddle,146,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
44,1.52,Paddle,146,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
45,1.558,Paddle,146,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
46,1.587,Paddle,146,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
47,1.619,Paddle,146,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
48,1.653,Paddle,126,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
49,1.686,Paddle,106,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
50,1.719,Paddle,86,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
51,1.752,Paddle,66,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
52,1.786,Paddle,66,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Left'],{},{}
53,1.819,Paddle,66,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
54,1.854,Paddle,66,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
55,1.886,Paddle,66,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
56,1.921,Paddle,66,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
57,1.952,Paddle,66,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
58,1.985,Paddle,66,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
59,2.018,Paddle,66,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
60,2.052,Paddle,66,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
61,2.085,Paddle,66,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
62,2.119,Paddle,66,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
63,2.153,Paddle,66,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
64,2.188,Paddle,66,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
65,2.22,Paddle,66,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
66,2.251,Paddle,66,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
67,2.285,Paddle,66,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
68,2.318,Paddle,66,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
69,2.352,Paddle,66,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
70,2.385,Paddle,66,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
71,2.417,Paddle,66,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
72,2.45,Paddle,66,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
73,2.484,Paddle,66,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
74,2.519,Paddle,66,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
75,2.553,Paddle,66,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
76,2.585,Paddle,66,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
77,2.618,Paddle,46,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
78,2.651,Paddle,26,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
79,2.684,Paddle,6,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
80,2.717,Paddle,-14,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
81,2.753,Paddle,-14,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Left'],{},{}
82,2.785,Paddle,-14,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
83,2.818,Paddle,-14,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
84,2.85,Paddle,-14,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
85,2.884,Paddle,-14,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
86,2.916,Paddle,-14,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
87,2.949,Paddle,-14,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
88,2.983,Paddle,-14,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
89,3.016,Paddle,-34,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
90,3.051,Paddle,-54,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
91,3.083,Paddle,-74,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
92,3.117,Paddle,-94,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
93,3.15,Paddle,-114,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
94,3.182,Paddle,-114,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Left'],{},{}
95,3.215,Paddle,-114,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
96,3.249,Paddle,-114,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
97,3.283,Paddle,-114,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
98,3.317,Paddle,-114,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
99,3.349,Paddle,-114,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
100,3.383,Paddle,-114,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
101,3.416,Paddle,-114,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
102,3.449,Paddle,-114,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
103,3.482,Paddle,-114,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
104,3.516,Paddle,-114,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
105,3.547,Paddle,-114,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
106,3.582,Paddle,-114,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
107,3.616,Paddle,-114,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
108,3.649,Paddle,-114,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
109,3.681,Paddle,-114,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
110,3.716,Paddle,-114,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
111,3.749,Paddle,-114,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
112,3.782,Paddle,-114,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
113,3.815,Paddle,-114,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
114,3.849,Paddle,-114,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
115,3.882,Paddle,-114,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
116,3.915,Paddle,-114,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
117,3.949,Paddle,-114,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
118,3.982,Paddle,-114,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
119,4.015,Paddle,-114,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
120,4.047,Paddle,-114,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
121,4.081,Paddle,-114,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
122,4.115,Paddle,-134,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
123,4.146,Paddle,-154,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
124,4.18,Paddle,-174,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
125,4.213,Paddle,-174,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Left'],{},{}
126,4.245,Paddle,-174,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
127,4.279,Paddle,-174,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
128,4.312,Paddle,-174,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
129,4.346,Paddle,-174,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
130,4.378,Paddle,-174,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
131,4.412,Paddle,-174,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
132,4.446,Paddle,-174,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
133,4.478,Paddle,-174,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
134,4.512,Paddle,-174,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
135,4.546,Paddle,-174,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
136,4.579,Paddle,-174,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
137,4.612,Paddle,-174,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
138,4.645,Paddle,-174,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
139,4.678,Paddle,-174,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
140,4.711,Paddle,-174,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
141,4.744,Paddle,-174,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
142,4.777,Paddle,-174,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
143,4.811,Paddle,-174,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
144,4.844,Paddle,-174,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
145,4.878,Paddle,-174,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
146,4.911,Paddle,-174,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
147,4.943,Paddle,-174,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
148,4.98,Paddle,-174,-145,-90,['Ball'],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
149,5.011,Paddle,-174,-145,-90,['Ball'],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
